entry_date,exit_date,entry_price,exit_price,pnl_%,hold_days,max_confidence
2024-11-06,2024-11-14,"Ticker
KOTAKBANK.NS    1762.6
Name: 2024-11-06 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1707.9
Name: 2024-11-14 00:00:00, dtype: float64",-3.1,6,0.974
2024-11-14,2024-11-25,"Ticker
KOTAKBANK.NS    1707.9
Name: 2024-11-14 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1790.75
Name: 2024-11-25 00:00:00, dtype: float64",4.85,5,0.959
2024-11-25,2024-11-28,"Ticker
KOTAKBANK.NS    1790.75
Name: 2024-11-25 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1759.2
Name: 2024-11-28 00:00:00, dtype: float64",-1.76,3,0.846
2024-12-02,2024-12-04,"Ticker
KOTAKBANK.NS    1753.95
Name: 2024-12-02 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1757.5
Name: 2024-12-04 00:00:00, dtype: float64",0.2,2,0.831
2024-12-10,2024-12-13,"Ticker
KOTAKBANK.NS    1794.7
Name: 2024-12-10 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1805.65
Name: 2024-12-13 00:00:00, dtype: float64",0.61,3,0.789
2024-12-19,2024-12-24,"Ticker
KOTAKBANK.NS    1762.1
Name: 2024-12-19 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1749.05
Name: 2024-12-24 00:00:00, dtype: float64",-0.74,3,0.973
2024-12-30,2025-01-01,"Ticker
KOTAKBANK.NS    1740.7
Name: 2024-12-30 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1788.4
Name: 2025-01-01 00:00:00, dtype: float64",2.74,2,0.911
2025-01-03,2025-01-06,"Ticker
KOTAKBANK.NS    1838.65
Name: 2025-01-03 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1779.65
Name: 2025-01-06 00:00:00, dtype: float64",-3.21,1,0.804
2025-01-09,2025-01-14,"Ticker
KOTAKBANK.NS    1790.2
Name: 2025-01-09 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1750.6
Name: 2025-01-14 00:00:00, dtype: float64",-2.21,3,0.96
2025-01-17,2025-01-20,"Ticker
KOTAKBANK.NS    1758.6
Name: 2025-01-17 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1920.5
Name: 2025-01-20 00:00:00, dtype: float64",9.21,1,0.956
2025-01-20,2025-01-28,"Ticker
KOTAKBANK.NS    1920.5
Name: 2025-01-20 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1887.75
Name: 2025-01-28 00:00:00, dtype: float64",-1.71,6,0.956
2025-01-28,2025-02-01,"Ticker
KOTAKBANK.NS    1887.75
Name: 2025-01-28 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1903.1
Name: 2025-02-01 00:00:00, dtype: float64",0.81,4,0.923
2025-02-28,2025-03-03,"Ticker
KOTAKBANK.NS    1902.95
Name: 2025-02-28 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    1914.6
Name: 2025-03-03 00:00:00, dtype: float64",0.61,1,0.778
2025-03-20,2025-03-24,"Ticker
KOTAKBANK.NS    2035.65
Name: 2025-03-20 00:00:00, dtype: float64","Ticker
KOTAKBANK.NS    2176.15
Name: 2025-03-24 00:00:00, dtype: float64",6.9,2,0.864
